tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	165354101407968	16	9024	9024	7292	2449	4843	1539e072592482db6adbc3498ccd7020
i259s0	166453613035744	18	9024	9024	7617	2605	5011	33dbbb46d4427218f002a14added33ab
i259s0	167553124663520	22	9024	9024	4097	1384	2713	3a6ce711b748adf52a25bb79c7ce4443
i259s0	168652636291296	17	9024	9024	4187	1479	2707	b24f249dbdb9a4ec93f6974d95702463
i259s0	169752147919072	9	9024	9024	7420	2466	4954	d7e3624f14370d89dc8e8f4967b5d3bb
i259s0	170851659546848	13	9024	9024	7224	2403	4821	bbbb96d5c1ae4a76c225a472060744f7
i259s0	171951171174624	10	9024	9024	7457	2274	5183	4813e5b69017ccc0de3943d5d4f740af
i261s0	62000008397025	18	9024	9024	7636	2442	5194	2b0c0f9eb354a8c38b856ecd2663473d
i261s0	62000008397026	11	9024	9024	7372	2254	5117	c38f912978dcc4c002f520678ff93bdb
i261s0	62000008397027	13	9024	9024	7751	2223	5527	4f86f38459533536b26b9fc2b4d3b774
i261s0	62000008397028	17	9024	9024	4400	1433	2967	073665c990bb16347f277bc49b0f401f
i261s0	62000008397029	9	9024	9024	7611	2471	5139	ee3bbaa5f99b518ed6c48e8237313252
i261s0	62000008397030	15	9024	9024	7445	2316	5128	09e6d9f66073d0c5691b9319d4108a33
i261s0	62000008397031	22	9024	9024	4277	1523	2753	2e58fd7d57fa27e643486bb5e0099e86
i261s0	62000008397032	14	9024	9024	4369	1396	2973	bf3f8407db8522a95a52c6782474c314
i261s0	62000008397033	24	9024	9024	7792	2412	5379	99d5bcb9b8a995283f9aa7cf1be3d990
i261s0	62000008397034	15	9024	9024	7413	2321	5091	95f4b79bde019b01a7432d9e08dc4c73
i261s0	62000008397035	18	9024	9024	7316	2251	5064	094f5938df21e2bbde80cb9b9382d120
i261s0	62000008397036	20	9024	9024	4169	1412	2756	ec26c858e6eff4d3074f924cf8dbcaa1
i261s0	62000008397037	10	9024	9024	7687	2341	5345	2a51567d18a71020da356c981c208d9f
i261s0	62000008397038	20	9024	9024	7387	2259	5128	de7d7b474604299b3e5266ccf89e2c19
i261s0	62000008397039	12	9024	9024	4192	1468	2724	9d142109c277e3428072c33d9085921a
i261s0	62000008397040	16	9024	9024	7310	2231	5079	ecbd541dfc19ffa70ed533f58ecb058a
i261s0	62000008397041	16	9024	9024	7253	2251	5002	a506716f73ea1493e977f12af321f3e8
i261s0	62000008397042	14	9024	9024	7524	2386	5138	81f29b5350654e3613e2caf9da01d124
i261s0	62000008397043	20	9024	9024	4273	1429	2843	2ac5f8e019a0400a9fcdcaf4bffc7b8d
i261s0	62000008397044	8	9024	9024	4638	1622	3016	40e8b34e75385c25dde37917e34bb728
i261s0	62000008397045	14	9024	9024	7245	2244	5000	bc66019b6a808c644e667b91022d62c4
i261s0	62000008397046	13	9024	9024	7368	2282	5086	7e4bdad879888c94977b263814fba59a
i261s0	62000008397047	16	9024	9024	7951	2344	5607	1e41999bd746d04321a2fa470559330a
i261s0	62000008397048	15	9024	9024	4199	1449	2749	ccf01fe8fa363349bbfaae70676bfdeb
i261s0	62000008397049	23	9024	9024	4144	1434	2709	21b22fe161c30404710f4ee7d76acfdb
i261s0	62000008397050	12	9024	9024	8169	2625	5543	c2be1176873d8059a4d01a23775214c8
i261s0	62000008397051	17	9024	9024	5728	1970	3757	36cfe390637de7d955055683f9e31e77
i261s0	62000008397052	15	9024	9024	7773	2458	5315	8108d5616fbe05103559ff3d5760e4cc
i261s0	62000008397053	17	9024	9024	7685	2267	5417	0020e686291defc6823fc3e4a9b0e4d5
i261s0	62000008397054	17	9024	9024	7150	2173	4977	fc7603fcf7d9c278910f174caecef7b5
i261s0	62000008397055	16	9024	9024	4775	1472	3303	58269e4bd98e26de60d197bd7bf35d8f
i261s0	62000008397056	9	9024	9024	7585	2248	5337	b55ae5a3b34cf6697012699881e55625
i261s0	62000008397057	12	9024	9024	4116	1436	2679	f4592410b649862bb08960662d5c885d
i261s0	62000008397058	15	9024	9024	4067	1428	2639	43a185f1731a146ec86fbd99266f5d6e
i261s0	62000008397059	15	9024	9024	8200	2545	5654	1e6e833c160895be4f8347566e933051
i261s0	62000008397060	13	9024	9024	4101	1411	2688	3833c3bc5ecdb8f2ca95e4b540bdc9b8
i261s0	62000008397061	18	9024	9024	7271	2151	5120	2c2eb370891a9f4af267c4778d906b4b
i261s0	62000008397062	22	9024	9024	7182	2121	5060	ef9f07546237f3dd1337a002cd1faa0e
i261s0	62000008397063	16	9024	9024	4208	1420	2788	090469a4ed267977fd938fc3f67ea2c5
i261s0	62000008397064	8	9024	9024	4874	1720	3154	615e321fbe29e7716ee9c01586f2be90
i261s0	62000008397065	12	9024	9024	7269	2145	5123	f78b04dd55c28fab8da6aaef68f71419
i261s0	62000008397066	16	9024	9024	7913	2450	5462	27971e4f4e3d404ea96a11fc64c2cd84
